openPrice,closePrice,highPrice,lowPrice,volume
1.331e-05,1.325e-05,1.331e-05,1.331e-05,0.0085977935000000009
0.00026948,0.00027049,0.00027049,0.00027049,5.3997e-06
1.9152,1.9152,1.9207,1.9207,204.88715399999998
1.24e-06,1.25e-06,1.25e-06,1.25e-06,0.0109388594
5.86,5.85,5.87,5.87,2191.216003
0.00036052,0.00036052,0.00036052,0.00036052,0.026111466704516802
8.898e-05,8.896e-05,8.9e-05,8.9e-05,1.1474145999999998
0.003396,0.003396,0.003396,0.003396,0.030564
0.2421,0.2419,0.2421,0.2421,56.687566
6.607e-05,6.625e-05,6.625e-05,6.625e-05,0.005767279581
